Experimental band gap,chemicalFormula,Computed band gap,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
0.153,Bi2Te3,0.3861,Bi2 Te3,52,83,31,64.4,14.88,52,86,90,4,88.4,1.92,90,127.6,208.9804,81.3804,160.15216,39.062592,127.6,544.4,722.66,178.26,651.356,85.5648,722.66,15,16,1,15.6,0.48,16,5,6,1,5.4,0.48,5,138,148,10,142,4.8,138,2.02,2.1,0.08,2.068,0.0384,2.1,2,2,0,2,0,2,3,4,1,3.6,0.48,4,10,10,0,10,0,10,0,14,14,5.6,6.72,0,16,29,13,21.2,6.24,16,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,32.95,34.76333333,1.813333333,34.038,0.8704,34.76333333,0,0.464,0.464,0.2784,0.22272,0.464,0,0,0,0,0,0,12,152,140,96,67.2,152
0.567,Mg2Ge1,0.2505,Mg2 Ge1,12,32,20,18.66666667,8.888888889,12,68,79,11,71.66666667,4.888888889,68,24.305,72.64,48.335,40.41666667,21.48222222,24.305,923,1211.4,288.4,1019.133333,128.1777778,923,2,14,12,6,5.333333333,2,3,4,1,3.333333333,0.4444444444,3,120,141,21,134,9.333333333,141,1.31,2.01,0.7,1.543333333,0.3111111111,1.31,2,2,0,2,0,2,0,2,2,0.6666666667,0.8888888889,0,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,2,14,12,6,5.333333333,2,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,22.89,23.005,0.115,22.92833333,0.05111111111,22.89,0,0.383,0.383,0.1276666667,0.1702222222,0,0,0,0,0,0,0,194,225,31,204.3333333,13.77777778,194
0.045,Co1Si1,0,Co1 Si1,14,27,13,20.5,6.5,14,58,78,20,68,10,58,28.0855,58.933195,30.847695,43.5093475,15.4238475,28.0855,1687,1768,81,1727.5,40.5,1687,9,14,5,11.5,2.5,9,3,4,1,3.5,0.5,3,111,126,15,118.5,7.5,111,1.88,1.9,0.02,1.89,0.01,1.88,2,2,0,2,0,2,0,2,2,1,1,0,0,7,7,3.5,3.5,0,0,0,0,0,0,0,4,9,5,6.5,2.5,4,0,0,0,0,0,0,0,4,4,2,2,0,0,3,3,1.5,1.5,0,0,0,0,0,0,0,3,4,1,3.5,0.5,3,10.245,20.44,10.195,15.3425,5.0975,10.245,0,0.773,0.773,0.3865,0.3865,0,0,1.5484712,1.5484712,0.7742356,0.7742356,0,194,227,33,210.5,16.5,194
7.025,Na1Br1,4.0895,Na1 Br1,11,35,24,23,12,11,2,95,93,48.5,46.5,2,22.98976928,79.904,56.91423072,51.44688464,28.45711536,22.98976928,265.8,370.87,105.07,318.335,52.535,265.8,1,17,16,9,8,1,3,4,1,3.5,0.5,3,120,166,46,143,23,120,0.93,2.96,2.03,1.945,1.015,0.93,1,2,1,1.5,0.5,1,0,5,5,2.5,2.5,0,0,10,10,5,5,0,0,0,0,0,0,0,1,17,16,9,8,1,0,1,1,0.5,0.5,0,0,1,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,29.24333333,29.48,0.2366666667,29.36166667,0.1183333333,29.24333333,0,1.457,1.457,0.7285,0.7285,0,0,0,0,0,0,0,64,229,165,146.5,82.5,64
0.9,Ca2Sn1,0.0596,Ca2 Sn1,20,50,30,30,13.33333333,20,7,80,73,31.33333333,32.44444444,7,40.078,118.71,78.632,66.28866667,34.94755556,40.078,505.08,1115,609.92,911.6933333,271.0755556,1115,2,14,12,6,5.333333333,2,4,5,1,4.333333333,0.4444444444,4,139,176,37,163.6666667,16.44444444,176,1,1.96,0.96,1.32,0.4266666667,1,2,2,0,2,0,2,0,2,2,0.6666666667,0.8888888889,0,0,10,10,3.333333333,4.444444444,0,0,0,0,0,0,0,2,14,12,6,5.333333333,2,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.333333333,1.777777778,0,33.285,37.77,4.485,36.275,1.993333333,37.77,0,0,0,0,0,0,0,0,0,0,0,0,141,225,84,197,37.33333333,225
2.57,As2S3,2.1971,As2 S3,16,33,17,22.8,8.16,16,84,88,4,86.4,1.92,88,32.065,74.9216,42.8566,49.20764,20.571168,32.065,388.36,1090,701.64,669.016,336.7872,388.36,15,16,1,15.6,0.48,16,3,4,1,3.4,0.48,3,105,119,14,110.6,6.72,105,2.18,2.58,0.4,2.42,0.192,2.58,2,2,0,2,0,2,3,4,1,3.6,0.48,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,15,9,9.6,4.32,6,0,0,0,0,0,0,2,3,1,2.4,0.48,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2.4,0.48,2,22.175,25.786875,3.611875,24.342125,1.7337,25.786875,0,2.202,2.202,1.3212,1.05696,2.202,0,0,0,0,0,0,70,166,96,108.4,46.08,70
3.35,Zn1O1,0.7316,Zn1 O1,8,30,22,19,11,8,69,87,18,78,9,69,15.9994,65.38,49.3806,40.6897,24.6903,15.9994,54.8,692.68,637.88,373.74,318.94,54.8,12,16,4,14,2,12,2,4,2,3,1,2,66,122,56,94,28,66,1.65,3.44,1.79,2.545,0.895,1.65,2,2,0,2,0,2,0,4,4,2,2,0,0,10,10,5,5,0,0,0,0,0,0,0,6,12,6,9,3,6,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,9.105,13.96,4.855,11.5325,2.4275,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,194,182,103,91,12
1.23,Cu2Se1,0.0763,Cu2 Se1,29,34,5,30.66666667,2.222222222,29,64,89,25,72.33333333,11.11111111,64,63.546,78.96,15.414,68.684,6.850666667,63.546,494,1357.77,863.77,1069.846667,383.8977778,1357.77,11,16,5,12.66666667,2.222222222,11,4,4,0,4,0,4,120,132,12,128,5.333333333,132,1.9,2.55,0.65,2.116666667,0.2888888889,1.9,1,2,1,1.333333333,0.4444444444,1,0,4,4,1.333333333,1.777777778,0,10,10,0,10,0,10,0,0,0,0,0,0,11,16,5,12.66666667,2.222222222,11,0,1,1,0.6666666667,0.4444444444,1,0,2,2,0.6666666667,0.8888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.4444444444,1,11.07,25.92,14.85,16.02,6.6,11.07,0,0.799,0.799,0.2663333333,0.3551111111,0,0,0,0,0,0,0,14,225,211,154.6666667,93.77777778,225
0.7,Ge1Te1,0.8215,Ge1 Te1,32,52,20,42,10,32,79,90,11,84.5,5.5,79,72.64,127.6,54.96,100.12,27.48,72.64,722.66,1211.4,488.74,967.03,244.37,722.66,14,16,2,15,1,14,4,5,1,4.5,0.5,4,120,138,18,129,9,120,2.01,2.1,0.09,2.055,0.045,2.01,2,2,0,2,0,2,2,4,2,3,1,2,10,10,0,10,0,10,0,0,0,0,0,0,14,16,2,15,1,14,0,0,0,0,0,0,2,4,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,1,2,23.005,34.76333333,11.75833333,28.88416667,5.879166667,23.005,0.383,0.464,0.081,0.4235,0.0405,0.383,0,0,0,0,0,0,152,225,73,188.5,36.5,152
10,Ca1F2,7.2479,Ca1 F2,9,20,11,12.66666667,4.888888889,9,7,93,86,64.33333333,38.22222222,93,18.9984032,40.078,21.0795968,26.02493547,9.368709689,18.9984032,53.5,1115,1061.5,407.3333333,471.7777778,53.5,2,17,15,12,6.666666667,17,2,4,2,2.666666667,0.8888888889,2,57,176,119,96.66666667,52.88888889,57,1,3.98,2.98,2.986666667,1.324444444,3.98,2,2,0,2,0,2,0,5,5,3.333333333,2.222222222,5,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,5.333333333,2.222222222,7,0,0,0,0,0,0,0,1,1,0.6666666667,0.4444444444,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6666666667,0.4444444444,1,9.7075,37.77,28.0625,19.06166667,12.47222222,9.7075,0,1.97,1.97,1.313333333,0.8755555556,1.97,0,0,0,0,0,0,15,225,210,85,93.33333333,15
